"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","43871977981","Rico Santiago, Biel","22/05/1998","Domingo Dalmau, Clara","+34 XXXXXXX","+34 XXXXXXX","biel@mailintaor.com","Mendez Costa, Marina","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Marina Mendez Costa","L'Armentera","Albanyà","biel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","12764972805","Hernandez Navas, Gabriel","26/06/1994","Jimenez Rivas, Marta","+34 XXXXXXX","+34 XXXXXXX","gabriel@mailintaor.com","Valls Gracia, Samuel","+34 XXXXZZZZ","+34 XXXXLLL","marta@mailintaor.com","c/ de l'aviador Samuel Valls Gracia","L'Armentera","Albanyà","gabriel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","44537194342","Sanz Robles, Nerea","31/12/1997","Domenech Roig, Anna","+34 XXXXXXX","+34 XXXXXXX","nerea@mailintaor.com","Saez Sanchez, Nil","+34 XXXXZZZZ","+34 XXXXLLL","anna@mailintaor.com","c/ de l'aviador Nil Saez Sanchez","L'Armentera","Albanyà","nerea@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","37527503011","Vidal Soto, Leo","28/09/1998","Reyes Mateu, Leyre","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Gonzalez Moreno, Eloi","+34 XXXXZZZZ","+34 XXXXLLL","leyre@mailintaor.com","c/ de l'aviador Eloi Gonzalez Moreno","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","51244336977","Merino Vega, Gerard","06/10/1999","Ribas Prat, Elena","+34 XXXXXXX","+34 XXXXXXX","gerard@mailintaor.com","Hurtado Arroyo, Emma","+34 XXXXZZZZ","+34 XXXXLLL","elena@mailintaor.com","c/ de l'aviador Emma Hurtado Arroyo","L'Armentera","Albanyà","gerard@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","34452103742","Nieto Valls, Paula","11/03/1999","Garrido Domingo, Hugo","+34 XXXXXXX","+34 XXXXXXX","paula@mailintaor.com","Contreras Sola, Andrea","+34 XXXXZZZZ","+34 XXXXLLL","hugo@mailintaor.com","c/ de l'aviador Andrea Contreras Sola","L'Armentera","Albanyà","paula@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","94384698819","Guerrero Lorenzo, Roc","27/10/1991","Torres Rodriguez, Oriol","+34 XXXXXXX","+34 XXXXXXX","roc@mailintaor.com","Crespo Comas, Albert","+34 XXXXZZZZ","+34 XXXXLLL","oriol@mailintaor.com","c/ de l'aviador Albert Crespo Comas","L'Armentera","Albanyà","roc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","36529085086","Sola Valverde, Adriana","26/03/1995","Maldonado Abad, Lola","+34 XXXXXXX","+34 XXXXXXX","adriana@mailintaor.com","Martin Marcos, Aya","+34 XXXXZZZZ","+34 XXXXLLL","lola@mailintaor.com","c/ de l'aviador Aya Martin Marcos","L'Armentera","Albanyà","adriana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","17350845919","Benito Nadal, Daniel","30/12/1990","Ribera Gallardo, Ariadna","+34 XXXXXXX","+34 XXXXXXX","daniel@mailintaor.com","Herrero Singh, Arlet","+34 XXXXZZZZ","+34 XXXXLLL","ariadna@mailintaor.com","c/ de l'aviador Arlet Herrero Singh","L'Armentera","Albanyà","daniel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","90106293832","Rios Pacheco, Isaac","10/02/1999","Castells Santamaria, Izan","+34 XXXXXXX","+34 XXXXXXX","isaac@mailintaor.com","Contreras Martin, David","+34 XXXXZZZZ","+34 XXXXLLL","izan@mailintaor.com","c/ de l'aviador David Contreras Martin","L'Armentera","Albanyà","isaac@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","42792152355","Ordoñez Carreras, Inés","01/08/1991","Alonso Guerrero, Naia","+34 XXXXXXX","+34 XXXXXXX","ines@mailintaor.com","Quintana Navas, Elena","+34 XXXXZZZZ","+34 XXXXLLL","naia@mailintaor.com","c/ de l'aviador Elena Quintana Navas","L'Armentera","Albanyà","ines@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","62802457090","Nieto Castro, Pablo","19/10/1998","Colomer Manzano, Adam","+34 XXXXXXX","+34 XXXXXXX","pablo@mailintaor.com","Martin Cortes, Bernat","+34 XXXXZZZZ","+34 XXXXLLL","adam@mailintaor.com","c/ de l'aviador Bernat Martin Cortes","L'Armentera","Albanyà","pablo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","72748702271","Gimeno Campos, Iris","14/12/1997","Mora Royo, Aina","+34 XXXXXXX","+34 XXXXXXX","iris@mailintaor.com","Planas Sabate, Noa","+34 XXXXZZZZ","+34 XXXXLLL","aina@mailintaor.com","c/ de l'aviador Noa Planas Sabate","L'Armentera","Albanyà","iris@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","79637138396","Arenas Dalmau, Anna","16/11/1990","Galindo Andreu, Bernat","+34 XXXXXXX","+34 XXXXXXX","anna@mailintaor.com","Planas Cardona, Jana","+34 XXXXZZZZ","+34 XXXXLLL","bernat@mailintaor.com","c/ de l'aviador Jana Planas Cardona","L'Armentera","Albanyà","anna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","47094313467","Cardona Ramon, Anna","08/11/1990","Rius Fernandez, Jaume","+34 XXXXXXX","+34 XXXXXXX","anna@mailintaor.com","Rius Gonzalez, Alan","+34 XXXXZZZZ","+34 XXXXLLL","jaume@mailintaor.com","c/ de l'aviador Alan Rius Gonzalez","L'Armentera","Albanyà","anna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","21826846673","Pages Camacho, Biel","17/02/1995","Rivas Lorente, Andrea","+34 XXXXXXX","+34 XXXXXXX","biel@mailintaor.com","Rojas Hernandez, Xavi","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Xavi Rojas Hernandez","L'Armentera","Albanyà","biel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","19708156714","Roman Coll, Gisela","11/06/1998","Crespo Mata, Mireia","+34 XXXXXXX","+34 XXXXXXX","gisela@mailintaor.com","Diez Herrero, Marcos","+34 XXXXZZZZ","+34 XXXXLLL","mireia@mailintaor.com","c/ de l'aviador Marcos Diez Herrero","L'Armentera","Albanyà","gisela@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","56101482186","Marco Casanovas, Malak","20/04/1997","Luque Valero, Roger","+34 XXXXXXX","+34 XXXXXXX","malak@mailintaor.com","Grau Nieto, Blanca","+34 XXXXZZZZ","+34 XXXXLLL","roger@mailintaor.com","c/ de l'aviador Blanca Grau Nieto","L'Armentera","Albanyà","malak@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","33213618813","Carrasco Reina, Guillem","09/05/1992","Serra Pallares, Joana","+34 XXXXXXX","+34 XXXXXXX","guillem@mailintaor.com","Busquets Roldan, Adrià","+34 XXXXZZZZ","+34 XXXXLLL","joana@mailintaor.com","c/ de l'aviador Adrià Busquets Roldan","L'Armentera","Albanyà","guillem@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","99560979969","Heredia Torres, Marcos","12/11/1994","Alba Gutierrez, Andrea","+34 XXXXXXX","+34 XXXXXXX","marcos@mailintaor.com","Diez Abad, Rayan","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Rayan Diez Abad","L'Armentera","Albanyà","marcos@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","10339034364","Soria Pardo, Laia","04/08/1997","Aguilera Font, Carla","+34 XXXXXXX","+34 XXXXXXX","laia@mailintaor.com","Vila Salazar, Mireia","+34 XXXXZZZZ","+34 XXXXLLL","carla@mailintaor.com","c/ de l'aviador Mireia Vila Salazar","L'Armentera","Albanyà","laia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","69560734506","Mesa Mata, Gisela","17/01/1998","Valverde Casanovas, Martí","+34 XXXXXXX","+34 XXXXXXX","gisela@mailintaor.com","Redondo Borras, Álvaro","+34 XXXXZZZZ","+34 XXXXLLL","marti@mailintaor.com","c/ de l'aviador Álvaro Redondo Borras","L'Armentera","Albanyà","gisela@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","37556391569","Roldan Domenech, Adriana","27/10/1993","Morales Marcos, Xavier","+34 XXXXXXX","+34 XXXXXXX","adriana@mailintaor.com","Casas Rey, Hugo","+34 XXXXZZZZ","+34 XXXXLLL","xavier@mailintaor.com","c/ de l'aviador Hugo Casas Rey","L'Armentera","Albanyà","adriana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","73641805786","Egea Asensio, Ana","06/06/1998","Mas Montes, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","ana@mailintaor.com","Pascual Rico, Berta","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Berta Pascual Rico","L'Armentera","Albanyà","ana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","60700785031","Linares Moreno, Isaac","02/12/1991","Mendoza Pardo, Queralt","+34 XXXXXXX","+34 XXXXXXX","isaac@mailintaor.com","Serra Roca, José","+34 XXXXZZZZ","+34 XXXXLLL","queralt@mailintaor.com","c/ de l'aviador José Serra Roca","L'Armentera","Albanyà","isaac@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","94229523076","Plaza Prats, Alba","20/10/1991","Diez Reyes, Ismael","+34 XXXXXXX","+34 XXXXXXX","alba@mailintaor.com","Heredia Ortiz, Andrea","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Andrea Heredia Ortiz","L'Armentera","Albanyà","alba@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","20373983827","Caballero Font, Ana","19/01/1996","Ruiz Ramos, Alexandra","+34 XXXXXXX","+34 XXXXXXX","ana@mailintaor.com","Morales Valle, Ismael","+34 XXXXZZZZ","+34 XXXXLLL","alexandra@mailintaor.com","c/ de l'aviador Ismael Morales Valle","L'Armentera","Albanyà","ana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","69855998728","Rico Escudero, Ona","22/09/1991","Manzano Mora, Ariadna","+34 XXXXXXX","+34 XXXXXXX","ona@mailintaor.com","Amaya Fuentes, Roger","+34 XXXXZZZZ","+34 XXXXLLL","ariadna@mailintaor.com","c/ de l'aviador Roger Amaya Fuentes","L'Armentera","Albanyà","ona@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","92257730759","Marti Guerrero, Ana","10/10/1998","Codina Prats, Aitana","+34 XXXXXXX","+34 XXXXXXX","ana@mailintaor.com","Castaño Navarro, Alejandro","+34 XXXXZZZZ","+34 XXXXLLL","aitana@mailintaor.com","c/ de l'aviador Alejandro Castaño Navarro","L'Armentera","Albanyà","ana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","47022128637","Lorenzo Miro, Clara","06/10/1991","Garcia Rovira, Naia","+34 XXXXXXX","+34 XXXXXXX","clara@mailintaor.com","Gutierrez Bueno, Martina","+34 XXXXZZZZ","+34 XXXXLLL","naia@mailintaor.com","c/ de l'aviador Martina Gutierrez Bueno","L'Armentera","Albanyà","clara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","10684504130","Bonet Pallares, Joana","02/08/1998","Soria Medina, Adam","+34 XXXXXXX","+34 XXXXXXX","joana@mailintaor.com","Carrillo Rey, Alan","+34 XXXXZZZZ","+34 XXXXLLL","adam@mailintaor.com","c/ de l'aviador Alan Carrillo Rey","L'Armentera","Albanyà","joana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","49890541757","Guillen Bautista, Diego","05/01/1990","Vera Vargas, Iris","+34 XXXXXXX","+34 XXXXXXX","diego@mailintaor.com","Capdevila Roca, Inés","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Inés Capdevila Roca","L'Armentera","Albanyà","diego@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","96803168066","Gimenez Hidalgo, Antonio","04/04/1997","Rueda Santos, Lluc","+34 XXXXXXX","+34 XXXXXXX","antonio@mailintaor.com","Pardo Merino, Miquel","+34 XXXXZZZZ","+34 XXXXLLL","lluc@mailintaor.com","c/ de l'aviador Miquel Pardo Merino","L'Armentera","Albanyà","antonio@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","93298245756","Colomer Marcos, Irene","16/04/1995","Cabello Arenas, Clara","+34 XXXXXXX","+34 XXXXXXX","irene@mailintaor.com","Mora Navas, Miguel","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Miguel Mora Navas","L'Armentera","Albanyà","irene@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","11593966739","Soria Bermudez, Clara","06/07/1995","Valls Mendez, Marc","+34 XXXXXXX","+34 XXXXXXX","clara@mailintaor.com","Casals Ortiz, Daniel","+34 XXXXZZZZ","+34 XXXXLLL","marc@mailintaor.com","c/ de l'aviador Daniel Casals Ortiz","L'Armentera","Albanyà","clara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","96017266932","Nieto Martin, Sergio","09/05/1998","Caballero Miralles, Axel","+34 XXXXXXX","+34 XXXXXXX","sergio@mailintaor.com","Fuentes Santamaria, Inés","+34 XXXXZZZZ","+34 XXXXLLL","axel@mailintaor.com","c/ de l'aviador Inés Fuentes Santamaria","L'Armentera","Albanyà","sergio@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","31898535185","Valles Nieto, Gisela","12/12/1990","Soriano Ponce, Noa","+34 XXXXXXX","+34 XXXXXXX","gisela@mailintaor.com","Pallares Prieto, Paula","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Paula Pallares Prieto","L'Armentera","Albanyà","gisela@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","23624981703","Martos Mateu, Jaume","17/04/1997","Collado Lopez, Bernat","+34 XXXXXXX","+34 XXXXXXX","jaume@mailintaor.com","Ribas Vega, Noa","+34 XXXXZZZZ","+34 XXXXLLL","bernat@mailintaor.com","c/ de l'aviador Noa Ribas Vega","L'Armentera","Albanyà","jaume@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","31396127065","Santamaria Arenas, Ayman","27/09/1997","Vazquez Miralles, Jan","+34 XXXXXXX","+34 XXXXXXX","ayman@mailintaor.com","Cortes Herrera, Oriol","+34 XXXXZZZZ","+34 XXXXLLL","jan@mailintaor.com","c/ de l'aviador Oriol Cortes Herrera","L'Armentera","Albanyà","ayman@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","22486263725","Oliver Ferrer, Naia","15/12/1998","Marcos Viñas, Erik","+34 XXXXXXX","+34 XXXXXXX","naia@mailintaor.com","Hurtado Cabrera, Nerea","+34 XXXXZZZZ","+34 XXXXLLL","erik@mailintaor.com","c/ de l'aviador Nerea Hurtado Cabrera","L'Armentera","Albanyà","naia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","91361468248","Moreno Hurtado, Nerea","09/11/1999","Mora Borras, Adam","+34 XXXXXXX","+34 XXXXXXX","nerea@mailintaor.com","Juan Cuenca, Ainara","+34 XXXXZZZZ","+34 XXXXLLL","adam@mailintaor.com","c/ de l'aviador Ainara Juan Cuenca","L'Armentera","Albanyà","nerea@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","78529350325","Casanovas Guerra, Valentina","22/11/1994","Juan Bautista, Ona","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Bueno Exposito, Elena","+34 XXXXZZZZ","+34 XXXXLLL","ona@mailintaor.com","c/ de l'aviador Elena Bueno Exposito","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","88883396483","Estrada Villanueva, Malak","05/01/1992","Suarez Castells, Miguel","+34 XXXXXXX","+34 XXXXXXX","malak@mailintaor.com","Singh Alarcon, Martina","+34 XXXXZZZZ","+34 XXXXLLL","miguel@mailintaor.com","c/ de l'aviador Martina Singh Alarcon","L'Armentera","Albanyà","malak@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","83010416469","Roca Singh, Erik","13/06/1994","Santamaria Velasco, Malak","+34 XXXXXXX","+34 XXXXXXX","erik@mailintaor.com","Exposito Plaza, Clara","+34 XXXXZZZZ","+34 XXXXLLL","malak@mailintaor.com","c/ de l'aviador Clara Exposito Plaza","L'Armentera","Albanyà","erik@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","82646801313","Bertran Delgado, Pol","27/06/1990","Oliver Sabate, Axel","+34 XXXXXXX","+34 XXXXXXX","pol@mailintaor.com","Oliver Camps, Cristina","+34 XXXXZZZZ","+34 XXXXLLL","axel@mailintaor.com","c/ de l'aviador Cristina Oliver Camps","L'Armentera","Albanyà","pol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","44085436412","Suarez Marin, Emma","11/05/1997","Martinez Moreno, Aina","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Rivas Padilla, Miguel","+34 XXXXZZZZ","+34 XXXXLLL","aina@mailintaor.com","c/ de l'aviador Miguel Rivas Padilla","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","14833624598","Sierra Alarcon, Eva","01/05/1997","Rico Lazaro, Javier","+34 XXXXXXX","+34 XXXXXXX","eva@mailintaor.com","Valencia Cruz, Bruna","+34 XXXXZZZZ","+34 XXXXLLL","javier@mailintaor.com","c/ de l'aviador Bruna Valencia Cruz","L'Armentera","Albanyà","eva@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","65372959506","Sole Dalmau, Marc","07/11/1990","Suarez Esteban, Ivet","+34 XXXXXXX","+34 XXXXXXX","marc@mailintaor.com","Miro Garriga, Nil","+34 XXXXZZZZ","+34 XXXXLLL","ivet@mailintaor.com","c/ de l'aviador Nil Miro Garriga","L'Armentera","Albanyà","marc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","83684982080","Linares Ribera, Naia","18/02/1997","Gil Casanova, Eva","+34 XXXXXXX","+34 XXXXXXX","naia@mailintaor.com","Casals Guzman, Eva","+34 XXXXZZZZ","+34 XXXXLLL","eva@mailintaor.com","c/ de l'aviador Eva Casals Guzman","L'Armentera","Albanyà","naia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","40325312755","Peña Sancho, Judit","24/05/1993","Nuñez Prats, Gisela","+34 XXXXXXX","+34 XXXXXXX","judit@mailintaor.com","Luque Arroyo, Gerard","+34 XXXXZZZZ","+34 XXXXLLL","gisela@mailintaor.com","c/ de l'aviador Gerard Luque Arroyo","L'Armentera","Albanyà","judit@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","25647912724","Andres Ibañez, Rayan","14/03/1991","Mata Ventura, Álvaro","+34 XXXXXXX","+34 XXXXXXX","rayan@mailintaor.com","Garrido Salas, Abril","+34 XXXXZZZZ","+34 XXXXLLL","alvaro@mailintaor.com","c/ de l'aviador Abril Garrido Salas","L'Armentera","Albanyà","rayan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","71759730613","Vera Alarcon, Jaume","04/10/1999","Font Mata, Pau","+34 XXXXXXX","+34 XXXXXXX","jaume@mailintaor.com","Comas Blanch, Biel","+34 XXXXZZZZ","+34 XXXXLLL","pau@mailintaor.com","c/ de l'aviador Biel Comas Blanch","L'Armentera","Albanyà","jaume@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","51947062371","Riera Diez, Sergi","12/11/1990","Sanz Flores, Arlet","+34 XXXXXXX","+34 XXXXXXX","sergi@mailintaor.com","Montoya Carrasco, Gabriel","+34 XXXXZZZZ","+34 XXXXLLL","arlet@mailintaor.com","c/ de l'aviador Gabriel Montoya Carrasco","L'Armentera","Albanyà","sergi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","30250177141","Carrera Suarez, Axel","11/02/1996","Martinez Castells, Gabriel","+34 XXXXXXX","+34 XXXXXXX","axel@mailintaor.com","Arias Ribas, Eloi","+34 XXXXZZZZ","+34 XXXXLLL","gabriel@mailintaor.com","c/ de l'aviador Eloi Arias Ribas","L'Armentera","Albanyà","axel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","67356222105","Alarcon Pacheco, Lucas","09/05/1995","Bravo Diaz, Helena","+34 XXXXXXX","+34 XXXXXXX","lucas@mailintaor.com","Esteban Vidal, Malak","+34 XXXXZZZZ","+34 XXXXLLL","helena@mailintaor.com","c/ de l'aviador Malak Esteban Vidal","L'Armentera","Albanyà","lucas@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","96247749008","Acosta Redondo, Laura","20/09/1993","Gil Ibañez, Eloi","+34 XXXXXXX","+34 XXXXXXX","laura@mailintaor.com","Navarro Duran, Pablo","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Pablo Navarro Duran","L'Armentera","Albanyà","laura@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","25934874245","Arias Galan, Bernat","07/12/1991","Roca Espinosa, Alejandro","+34 XXXXXXX","+34 XXXXXXX","bernat@mailintaor.com","Estrada Padilla, Judith","+34 XXXXZZZZ","+34 XXXXLLL","alejandro@mailintaor.com","c/ de l'aviador Judith Estrada Padilla","L'Armentera","Albanyà","bernat@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","72190298441","Guillen Nadal, Nerea","20/12/1993","Bautista Leon, Noa","+34 XXXXXXX","+34 XXXXXXX","nerea@mailintaor.com","Gimeno Domenech, Elsa","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Elsa Gimeno Domenech","L'Armentera","Albanyà","nerea@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
